Who?	چه کسی؟
She loves Tom, not me.	او(دختر) عاشق تام است، نه من
Tell me. I'm all ears.	به من بگو، من سرتاپا گوشم.
That flower is edible.	این گل خوردنی است.
That isn't believable.	آن باورکردنی نیست.
That isn't believable.	آن چیز باورکردنی نیست.
That's not believable.	آن باورکردنی نیست.
That's not believable.	آن چیز باورکردنی نیست.
The students are back.	دانش‌آموزان برگشته‌اند.
This is a masterpiece.	این یک شاهکار است.
This tea is very nice.	این چای بسیار خوب است.
Tom awoke at daybreak.	تام در ابتدای روز بیدار شد.
Tom awoke at daybreak.	تام هنگام طلوع بیدار شد.
Tom checked his watch.	تام به ساعتش نگاهی انداخت.
Tom didn't eat dinner.	تام شام نخورد.
Tom faces a conundrum.	تام با یک معما مواجه است.
Tom is a sheep farmer.	تام پرورش دهنده گوسفند است.
Tom is always so busy.	تام همیشه سرش خیلی شلوغ است.
Tom will live with us.	تام با ما زندگی خواهد کرد.
Try some of this cake.	یک کم از این کیک امتحان کن.
We all agree with you.	ما همگی با تو موافقیم.
What a strange ritual!	چه آیین غریبی!
What's the daily rate?	نرخ روزانه چیست؟
Where's my phone book?	دفتر تلفنم کجاست؟
Where's the president?	رئیس جمهور کجاست؟
Why do you suspect me?	چرا به من مظنون هستید؟
You don't belong here.	شما به اینجا تعلق ندارید.
You don't belong here.	تو متعلق به اینجا نیستی.
You'll thank me later.	تو بعدا از من تشکر خواهی کرد.
You've got to see Tom.	باید تام را ببینی.
A sponge absorbs water.	یک ابر آب را جذب می‌کند.
All I have is one book.	همه چیزی که دارم یک کتاب است.
All roads lead to Rome.	تمام راهها به رم ختم می شود.
Better late than never.	دیر رسیدن بهتر از هرگز نرسیدن است.
Can I take a break now?	می توانم الان استراحت کنم؟
Cut it into two pieces.	آن را به دو قسمت ببر.
Do I need an operation?	آیا نیاز به عمل دارم؟
Do we have to help Tom?	آیا ما مجبوریم به تام کمک کنیم؟
Do you have everything?	آیا تو همه چیز داری؟
Do you mind if I smoke?	ناراحت نمی شوی اگر که سیگار بکشم؟
Don't even think of it.	اصلاً فکرش را هم نکن.
Don't take it to heart.	این را به قلبت نزدیک نگاه ندار.
Don't tell anyone this.	به هیچ کس این را نگو.
Get a hammer and nails.	یک چکش و میخ بردار.
Hasn't anyone seen Tom?	کسی تام را ندیده است؟
He has no specific aim.	اون هیچ هدف مشخصی نداره.
He left three days ago.	او سه روز پیش از اینجا رفت.
He often appears on TV.	او اغلب بر صفحه ی تلویزیون ظاهر می شود.
He played piano by ear.	او از راه شنیدن پیانو می‌نواخت.
He went in place of me.	او به جای من رفت.
Her friend is a singer.	دوستش یک خواننده است.
Hope is not a strategy.	امید یک استراتژی نیست.
I am a very sad person.	من آدم بسیار غمگینی هستم.
I can't leave Tom here.	من نمی‌توانم تام را اینجا رها کنم.
I decided to try again.	تصمیم گرفتم بوباره سعی کنم.
I don't like ice cream.	بستنی دوست ندارم.
I don't like this book.	من این کتاب را دوست ندارم
I don't speak Japanese.	من ژاپنی صحبت نمی‌کنم.
I got a traffic ticket.	من یک بلیط تردد گرفته ام.
I got lost in the maze.	من در هزارتو گم شدم.
I have a dog and a cat.	من یک سگ و یک گربه دارم.
I hope it was worth it.	امیدوارم ارزشش را داشت.
I need you to find Tom.	به تو نیاز دارم تا تام را پیدا کنم.
I need you to find Tom.	برای پیدا کردن تام به شما احتیاج دارم.
I prefer coffee to tea.	قهوه را به چای ترجیح می دهم.
I spoke to my daughter.	با دخترم صحبت کردم.
I want to learn karate.	می خواهم کاراته یاد بگیرم.
I was young and stupid.	من جوان و احمق بودم.
I went there yesterday.	من دیروز به آنجا رفتم.
I'd rather go swimming.	من بیش از اندازه شنا را دوست دارم.
I'll bear that in mind.	من آن را به خاطر خواهم داشت یا مد نظر قرار خواهم داد.
I've broken my glasses.	عینکم را شکسته ام.
Is your mother at home?	آیا مادر شما در خانه است؟
It might not even work.	ممکن بود حتی کار نکند.
It was windy yesterday.	دیروز هوا بادی بود.
It won't stop bleeding.	خونریزی بند نمی آید.
Just follow your heart.	به سادگی از قلبت پیروی کن.
My father likes tennis.	پدرم تنیس دوست دارد.
No one came to help me.	هیچ کس به کمکم نیامد.
Please leash your dogs.	لطفاً سگهایتان را قلاده کنید.
She took a deep breath.	او نفس عمیقی کشید.
Thanks for inviting me.	تشکر برای دعوت کردن من.
That's pure conjecture.	آن گمان محض است.
The boy sat on a chair.	پسر روی یک صندلی نشست.
The buds began to open.	غنچه‌ها آغاز به گشودن کردند.
The flowers smell good.	گل ها بوی خوبی می دهند.
They have just arrived.	آنها تازه آمده اند.
This is a pretty dress.	لباس زیباییست.
This smell disgusts me.	این بو حالم را به هم می‌زند.
Tom clenched his fists.	تام مشت هایش را گره کرد.
Tom cut the wrong wire.	تام سیم اشتباه را برید
Tom seems really happy.	تام واقعاً خوشحال به نظر می‌رسد.
Tom sorted his laundry.	تام رخت‌های خود را مرتّب کرد.
Tom sorted his laundry.	تام رختاشو مرتّب کرد.
We plan to go by train.	ما برنامه ریزی کردیم که با قطار بریم.
What's your blog about?	ووبلاگ شما در چه موردی است؟
Who are you talking to?	با کی حرف می زنی؟
Who told you the story?	چه کسی ماجرا را به تو گفت؟
Why not see the doctor?	چرا دکتر ندیدت؟
Will it be much longer?	آیا طولانی خواهد شد؟
You had plenty of time.	تو وقت زیادی داشتی.
You're Tom, aren't you?	شما تام هستید. این طور نیست؟
You're very perceptive.	شما بسیار گیرا هستید.
Your bag is on my desk.	کیفت بر روی میز من است.
A mirror reflects light.	آیینه نور را منعکس می‌کند.
Aren't you even curious?	آیا تو حتی کنجکاو نیستی؟
Can you make it on time?	می توانی آن را به موقع بسازی؟
Do you believe in magic?	آیا به جادو معتقدی؟
Do you need an envelope?	آیا شما یک پاکت نامه می خواهید؟
Don't believe the media.	رسانه‌ها را باور نکن.
Don't eat too much cake.	بیش از اندازه کیک نخور.
Don't make abrupt moves.	حرکت ناگهانی نکن.
Everyone makes mistakes.	بشر جائزالخطاست.
Everything here is mine.	هر چیزی که اینجاست مال من است.
Everything is confusing.	همه چیز گیج کننده است.
Give me the screwdriver.	به من یک پیچ گوشتی بده.
Have you heard the news?	آیا خبر را شنیده ای؟
Have you met her before?	قبلا او را دیده بودی؟
He abandoned his family.	او خانواده اش را ترک کرد.
He readily agreed to it.	او به آسانی با آن موافقت کرد.
He readily agreed to it.	او بی درنگ با آن موافقت کرد.
He was painfully skinny.	او به شدت لاغر بود.
He will always love her.	او همیشه وی را دوست خواهد داشت.
His mother was a singer.	مادر او یک خواننده بود.
His room is always tidy.	اتاق او همیشه مرتب است.
How do you know my name?	چطور نام مرا میدانی؟
How's the weather there?	آنجا هوا چه طور است؟
Hurry up! We'll be late.	عجله کن! دیرمان می شود.
I appreciate the effort.	من کوشش را تحسین می‌کنم.
I didn't know that song.	من آن آواز را نمی شناختم.
I didn't make a mistake.	من اشتباهی نکرده ام.
I don't follow politics.	من اهل سیاست نیستم.
I don't understand this.	من متوجه نشدم.
I felt sympathy for him.	من برای او احساس دلسوزی کردم.
I go to school at seven.	من در ساعت هفت به مدرسه می روم.
I heard it on the radio.	من این را از رادیو شنیدم.
I loosened my shoelaces.	من بند کفشم را شل کردم.
I should've done better.	من باید بهتر انجام می‌دادم.
I showed my room to him.	اتاق‌ام را به او نشان دادم.
I'd better not eat that.	ترجیح می دهم که نخورمش.
I'll catch the next bus.	سوار اتوبوس بعدی می شوم.
I'll do it by all means.	با کمال میل این کار را خواهم کرد.
I'll wait right outside.	من همین بیرون منتظر می مونم.
I'm feeling much better.	حال به مراتب بهتری دارم.
I'm good at mathematics.	من در ریاضیات مهارت دارم.
I'm sorry to bother you.	ببخشید که اذیتت کردم.
I've forgotten his name.	نام او را فراموش کردم.
I've made no commitment.	من هیچ تعهدی نداده‌ام.
It wasn't an aberration.	این غیر عادی نبود.
It'll be Christmas soon.	به زودی کریسمس می شود.
It's not rocket science.	کار چندان سختی نیست.
Looks aren't everything.	ظاهر و قیافه همه چیز نیست.
Mary has her back to us.	مری به ما پشت کرده است.
Measure twice, cut once.	دو بار اندازه بگیر، یک بار ببر.
My house is in disarray.	خانه‌ام در آشفتگی بود.
My mother set the table.	مادرم میز را چید.
My strength is all gone.	تمام توانایی من از دست رفته است.
Please open the package.	لطفاً بسته را باز کن.
Please pass me the salt.	لطفا نمک را به من بده.
She gave us lots to eat.	او مقدار زیادی خوردنی به ما داد.
She'll succeed for sure.	او قطعاً موفق خواهد شد.
